invoiceAmount,invoiceDiscountAmount,invoiceProfit
299.73,9.27,32.09
480,20,45
125,0,13.26
40,0,6
306.21,16.12,26.7135
1039.31,37.7,89.305
80,0,10.4
20,0,4.4
232.1,0,29.1
9.72,0,1.26
303.05,15.95,25.75
37.35,0,5.22
401.87,12.43,40.571
291,9,28.6
31.8,0,4.2
10,0,3.29
239.3,7.4,24.999
209,11,16
120.8,0,49.14
199.78,2.02,28.782
87.22,1.78,10.22
100.05,3.09,9.7958
50,0,6.53
326.02,10.08,32.517
590,0,65.2
425.32,8.68,46.42
324.95,10.05,11.3
200,0,26
274.08,14.43,25.875
236.44,0,29.92
606.58,31.93,54.975
534.28,28.12,46.08
280.18,5.72,53.742
670.28,4.73,109.275
81.18,4.27,7.1775
454.1,23.9,35.1
54.9,0,7.3
448.4,23.6,37.4
426.93,22.47,38.31
14,0,2.8
52.63,2.77,4.43
28,0,3.88
120.64,2.46,19.338
281.36,2.84,37.658
105.16,0,16.4
110,0,20
1687.77,88.83,147.97
339.96,6.94,37.792
19.44,0,2.52
404.79,21.3,34.9755
281.72,14.83,23.4525
69.5,0,9.08
1447.5,52.5,128.24
299,0,39
194.75,10.25,17.57
534.59,10.91,111.59
80.496,3.354,7.386
1235,65,82
835,0,148.5
4629.68,243.67,413.7825
90.24,3.76,9.24
240.3,4.9,28.896
120,5,10
160.05,4.95,16.05
480.2,9.8,63.2
1853.74,97.57,207.915
55,0,24.9
784,0,88.21
1358.5,71.5,137.32
12,0,1.6
336.48,17.71,33.8005
260.67,2.63,31.727
485.36,25.55,47.595
442.51,23.29,43.01
81.35,0,10.15
100.51,1.02,10.3747
95.24,0.96,11.668
581.42,17.98,61.418
1207.82,63.57,101.4805
200.3,0,29
37.5,0,5
130,0,17.93
546.45,16.9,33.6195
210.7,4.3,38.22
430.83,22.68,36.525
764.28,27.72,72.18
712.12,37.48,72.17
1569.75,40.25,75.56
553.51,29.13,47.198
290.47,0,37.91
62,0,8.5
1066.28,56.12,87.88
1952.707,60.393,251.057
149.74,3.06,16.344
219.58,11.56,18.463
651.84,20.16,62.31
411.35,21.65,50.26
1539.58,31.42,132.09
369.98,13.42,38.981
18,0,2.34
902.5,47.5,110.83
80.04,4.21,7.3875
448.73,16.28,10.045
231.26,2.34,27.364
1669.5,80.5,147.14
46.8,0,6.2
499.32,5.04,62.0764
480.7,25.3,40.7
1877.43,98.81,147.308
500.1,0,65.26
341.43,6.97,41.832
38,0,4.84
210,0,28.53
250,0,38.75
350.4,14.6,23.9
230,0,31
358.97,7.33,39.474
400.1,0,59.92
110,0,20
97.5,0,13.6
76.95,0,9.75
125,0,16.2
166.63,8.77,13.33
137.94,7.26,11.94
170,0,18
239.3,0,27.07
70,0,10.2
200,0,50
1680.35,51.97,132.6004
3194.85,168.15,252.75
130.95,4.05,11.95
180,0,23.48
479.27,9.78,47.129
741,39,111
470,0,32.9
951.38,29.42,98.476
421.06,17.54,63.256
100.06,2.04,10.558
238.65,19.35,19.35
92.44,4.87,7.135
1398.72,43.26,144.2806
1552.91,81.73,133.268
110,0,11.75
130.95,4.05,13.95
70.3,3.7,6.3
183.73,9.67,21.63
299.88,6.12,34.68
173.15,5.36,17.865
99.43,3.08,13.135
620.88,0,79.24
130,0,17.93
70,0,9.17
413.53,21.76,33.4755
101.39,0,14.31
984,0,284.35
239,4.88,29.3224
301.86,9.34,33.064
1220.85,64.26,99.745
526.68,27.72,44.52
130.02,5.42,17.6024
148.2,7.8,13.56
420.74,15.26,44.74
80,0,10.4
685.46,0,90.62
120,0,19.89
117.1,0,14.4
40,0,3.6
300.84,9.3,34.1358
726,0,68.6
150,0,21.25
441.75,23.25,102.25
169.34,7.06,16.144
30,0,3
50,0,6.51
614.65,32.35,52.05
70,0,7.5
85.36,2.64,8.86
31.5,0,4.11
30,0,3
349.68,5.33,39.975
20.52,0,4.31
280.25,14.75,23.73
600,0,120
294.12,15.48,28.12
1966.92,71.34,206.1409
200.9,4.1,25.9
140,0,12.73
555.66,17.19,59.05
776.4384,32.3516,79.0284
260.45,8.06,28.845
416.5,8.5,39
110.78,4.62,11.184
139.68,4.32,14.76
693.55,36.5,55.1975
1200,50,50
952.54,29.46,75.59
169.71,1.71,20.4058
545.14,16.86,141.14
69,0,9
270,0,27
942.31,49.6,79.805
400.76,12.39,41.5055
150,0,20
1676.2005,42.9795,179.8805
270.9112,5.5288,29.6112
537.67,16.63,53.471
36,0,4.68
531.26,27.96,44.339
110,0,20
145,0,19.25
70.41,0.71,8.7888
210.57,6.51,22.9476
51.34,2.7,3.948
999.21,20.39,115.488
380.24,11.76,32.88
346.78,10.73,40.675
1570.27,82.65,128.844
101.44,0,16.26
72,0,9.4
184.3,5.7,22.3
159.22,8.38,12.22
165.42,3.38,19.184
70,0,7
256.5,13.5,23.5
44.77,0,4.12
129.79,5.41,12.192
180,0,45
235.62,16.38,18.34
60,0,6.33
155.37,8.18,14.2425
54.9,0,6.9
978.73,30.27,101.48
190,10,14.56
28.7,0,3.7
530,0,119.88
771.59,23.86,75.5865
130.95,4.05,14.55
199.39,2.01,21.136
500,0,65
31.56,0.64,4.056
508.99,26.79,45.591
180,0,45
100.94,2.06,11.34
242.06,4.94,26.86
20.52,0,2.6
8.61,0,1.11
189.15,5.85,19.56
838.59,30.42,86.625
54,0,7.02
268.91,5.49,31.112
49.6,0,6
705.85,37.15,59.25
348.04,10.76,34.386
130.95,4.05,15.35
149.29,3.05,17.4832
100.8,4.2,10.3
549.99,17.01,53.22
3658.32,132.69,232.995
80,0,8
90,0,13.5
500.08,21.92,48.456
189.15,5.85,19.65
254.21,5.19,29.632
400.48,14.53,39.975
500,0,100
100,0,15
415.21,21.85,36.717
45,0,5.9
359.22,3.63,43.9215
423.42,22.29,35.545
190.4,0,24.8
1200,50,50
593.75,31.25,49.75
100,0,13
353.27,10.93,32.214
120,0,16
982.49,51.71,90.17
12.35,0.65,1.05
425.44,13.16,44.292
300.7,9.3,33.4
508.28,15.72,239.68
100,0,9
150.08,1.52,18.084
135,0,19
350.63,10.84,38.8359
237.5,12.5,20
371.03,11.48,38.675
7,0,1.4
203.3,10.7,17.14
994.95,10.05,90.19
100,0,13.21
100.88,3.12,19.28
180.41,5.58,19.3103
700.59,25.41,68.99
20.9,1.1,1.6
277.13,19.27,19.334
468.51,14.49,50.21
160.13,6.67,16.128
1447.5,52.5,143.94
29.93,1.58,2.535
221.83,11.68,19.1745
97.95,0,18.15
112.77,5.94,8.665
110.18,2.25,12.5114
15,0,1.5
205.2,10.8,17.28
641.04,16.44,69.303
25,0,3.26
230.05,9.59,20.2344
1009.4,20.6,91.16
195,0,25.68
448.21,23.59,48.37
210.38,14.63,14.625
180.44,9.5,13.323
290,0,30
99,0,13.69
199.89,4.08,22.1506
70.71,1.44,7.957
60.8,3.2,4.6
121.6,6.4,11.28
390.45,20.55,33.45
104.5,5.5,9.9
104.5,5.5,8
100,0,24.6
85,0,10
599.6,0,80.5
269.5,5.5,19.5
150,0,20
10,0,3.2
601.54,31.66,50.42
368.6,19.4,30.2
200.64,10.56,19.89
60.35,1.23,5.1084
210.99,4.31,25.444
15,0,1.5
200,0,30
30.56,0.95,3.165
202.2,10.64,17.758
779.81,32.49,73.528
60,0,8.02
199.92,4.08,22.56
79,0,10.3
894.83,27.68,99.235
597.33,18.47,61.926
825.55,43.45,69.33
400,0,90
599.74,28.26,53.38
30.31,0,3.06
1199.9,100.1,-9.1
551.28,17.05,57.1501
566.46,20.55,41.715
425.08,22.37,31.1775
270.2,9.8,24.6
30.03,0,3.9
1180.76,62.145,105.995
196.404,5.036,24.294
120,0,16
240,0,36
423,0,53.1
199.43,4.07,24.36
351.5,18.5,26.5
249.6,10.4,39.6
275,0,29.46
45,0,4.5
140.4,0,17.2
321,0,41.9
240.51,0,31.58
320.96,11.64,33.319
440.61,8.99,69.618
190.43,10.02,17.2775
575.89,30.31,52.69
1979.85,30.15,74.55
19.95,1.05,3.45
52.21,0,7.45
299.7,0,39.7
161.02,4.98,27.02
182,0,24
350,0,35
1466.8,53.2,133.3
79.15,2.45,10.552
24,0,2.96
507.965,26.735,39.265
198.85,6.15,20.51
220,0,32
102.72,0,11.19
1200,50,50
125.1,0,16.33
50,0,6.53
19.93,0.62,1.0335
362.75,7.4,39.697
373.87,7.63,42.37
1700,0,165
649.8,20.1,66.903
482.22,25.38,40.77
190,0,28
100.88,3.12,19.28
419.38,12.97,44.5395
120.75,6.36,9.735
186.93,0,24.56
60,0,7.2
459.84,18.16,41.836
494.7448,16.3552,49.5948
599.63,15.38,33.825
855,45,73.2
435.31,22.91,36.589
952.83,29.47,124.521
30,0,4
1048.8465,26.8935,108.1965
173,0,25.2
120,0,17.5
440,0,71.5
519.76,42.14,26.8575
632.21,33.27,49.246
60,0,8.5
207.1,6.41,27.895
390,0,70.2
79.8,4.2,7.44
75,0,8.98
460.75,14.25,100.75
1121.57,59.03,94.87
656.54,20.31,63.6645
130,0,19.5
639.09,30.11,52.986
625.65,19.35,63.38
219.1,0,34.32
629.76,26.24,108.21
593.48,21.53,27.675
232.75,12.25,21.25
2.4,0,0.42
72.68,2.25,5.4621
310.79,9.61,30.588
463.6,24.4,41.6
838.64,25.94,85.6026
110.15,2.25,14.842
460.36,14.24,47.642
489.85,15.15,50.85
458.88,19.12,42.58
6.48,0,0.84
708.59,21.92,96.475
70,0,8.75
542.45,28.55,46.35
100,0,18
190.08,7.92,19.38
148.99,6.21,12.992
250.32,7.74,26.3182
185,0,46.6
664.45,20.55,29.15
218.74,9.11,19.446
481.66,20.07,46.1108
100.32,4.18,9.5
39.72,0,7.86
939.25,29.05,97.051
185.71,3.79,22.71
1786.39,94.0205,156.3695
167.99,3.43,18.6916
120,0,17.4
1663.83,87.57,164.83
137.09,7.22,11.585
19.52,1.03,0.6225
413.25,21.75,34.95
758.1,39.9,64.32
382.67,11.84,39.165
593.48,21.53,27.675
227.95,7.05,25.15
40,0,8.06
70,0,10.2
175.39,7.31,18.212
503.5,26.5,42.5
209,11,17.75
557.75,17.25,57.75
351.5,18.5,35.3
981.44,25.17,106.335
686,14,49.64
194,6,20
318.5,6.5,35.89
3347.92,213.7,252.2228
390,0,88.5
130,0,15.46
31.8,0,4.2
1191.64,62.72,92.242
90,0,18.75
136.8,7.2,11.61
236.44,0,30.02
351.5,18.5,30.09
409.86,21.57,34.6985
175.94,9.26,16.54
684,36,57
487.7,25.67,41.5415
117.88,0,15.33
175,0,20.59
270.88,4.13,20.875
138,0,18
1679.1,60.9,111.5
599.63,15.38,33.825
598.3,21.7,64
65,0,15
300,0,70
2608.65,181.35,97.65
99.75,5.25,8.75
70,0,10.2
398.34,20.97,40.835
320.28,16.86,27.243
153.62,8.09,13.615
16,0,2.32
400.95,4.05,43.23
343.0696,10.6104,36.6096
237.9,2.4,27.597
1448.7,54.1,80.7792
471.36,19.64,44.58
432.77,22.78,39.7825
198.55,4.05,23.548
384.598,20.242,35.068
298.1,6.08,32.2564
307.85,3.11,43.0504
25,0,3.26
137.75,7.25,11.65
168.34,8.86,14.84
229.05,12.06,21.155
159.6,8.4,12.23
15,0,1.5
49.77,2.07,4.1864
493.92,10.08,68.92
850.98,26.32,88.271
385.28,11.92,39.484
831.74,34.66,75.594
257.74,5.26,24.74
450.55,11.55,21.4475
27,0,7.3
114.17,2.93,11.4725
50.63,0,12.94
5.48,0,0.44
1234.64,64.98,104.479
2576.7,79.69,277.6883
140,0,14
138,0,16
778.23,24.07,88.981
310.28,4.73,12.225
297.6,0,38.82
441.35,13.65,45.45
803.61,42.3,73.8545
280,0,36.55
106.37,2.73,11.5025
25,0,8.5
1634.72,50.56,175.2516
110.54,2.26,11.544
20,0,2
815.92,0,108.44
160.34,4.96,17.441
251.25,7.77,26.9794
529.06,22.04,54.456
373.45,11.55,35.76
498.24,20.76,47.14
100.26,5.28,10.573
30,0,3
109.96,2.24,12.356
330.34,1.66,39.34
80.48,0,10.24
50,0,6.5
135.8,0,65.5
348.46,18.34,29.02
30.48,0,3.04
298.21,15.7,25.505
112.52,5.92,9.528
50,0,10
20,0,2.6
150,0,18.75
364.95,11.29,36.1128
100.98,1.02,13.08
892.5,0,116.1
240,0,31.4
157.5,0,21.75
178.6,9.4,15.6
1683.97,88.63,146.97
45,0,9.85
2237.25,117.75,160.43
529.45,27.87,44.874
285,0,42.75
338.27,10.46,37.9681
640.9,9.1,36.4
20,0,4.4
28.7,0,3.7
40,0,6.25
150.35,4.65,43.51
147.73,7.78,12.475
549.9,5.55,66.7455
168.15,8.85,15.55
357.05,12.95,50.05
181.41,0,26.95
357.58,18.82,33.48
130,0,14.44
180,0,45
739.9,15.1,78.7
99.75,5.25,5.25
1026.7,54.04,89.973
94.08,1.92,10.56
160,0,16.41
569.58,17.62,57.334
70.15,0,9.2
49.32,0,3.96
200.92,4.1,25.8196
211.95,11.16,18.435
150,0,20
230.3,4.7,24.3
101.4,0,12.42
340.56,3.44,41.36
2281.62,120.09,198.005
503.4645,5.0855,88.2645
499.55,15.45,50.55
984.029,51.791,83.389
1100.39,57.92,98.385
99.75,5.25,5.25
237.5,12.5,20.3
20.55,0,1.65
1666.27,60.43,101.6655
2598.54,91.46,153.29
181.64,9.56,14.04
199.92,4.08,16.86
96,0,12.53
269,0,37.1
1300.15,61.26,148.85655
302.48,15.92,25.08
200,0,24
571.43,30.08,53.525
100,0,13.06
116.6,0,14.2
280,0,34.51
45,0,4.5
657.68,13.42,72.678
12.5,0,1.63
595.44,31.34,41.501
10,0,5.85
480.11,0,59.93
29.1,0.9,2.1
555,0,87.75
2914.38,105.7,196.1672
248.92,5.08,28.52
2942.01,90.99,335.01
243.485,12.815,22.825
59.28,0,7.72
150,0,19.8
100.88,3.12,19.28
49.98,1.02,5.68
145,0,21.75
37.5,0,5
2382.6,125.4,208.2
120,0,16
430.08,10.12,47.4954
425.6,22.4,38.95
18,0,2.36
554.27,38.53,38.668
288,12,27.2
499.2,20.8,48.85
307.49,9.51,32.49
60.2,0,12.9
160,0,22
400.47,16.69,34.2236
538.61,10.99,66.508
567.91,29.89,52.97
140.38,4.34,15.9184
738.34,38.86,67.89
460.75,24.25,42.75
693.55,21.45,71.81
4972.21,261.7,361.715
30,0,6.6
209.95,8.75,19.952
1912.05,69.35,193.771
200.64,8.36,19.06
29.2,0,4
60,0,6
19.27,1.01,0.586
85,0,8.5
3690.85,114.15,314.05
240.95,7.45,47.208
87.2,0,11
16.44,0,1.32
1292.69,46.88,110.14
500,0,65.62
931.2,28.8,66.3
582.34,30.65,48.5505
469.11,24.69,46.31
567.25,11.58,67.0734
50.99,1.04,5.3394
3346.09,176.11,278.89
843.5,0,113.15
427.77,13.23,47.53
20,0,6.8
479.86,25.26,40.894
169.36,5.24,17.512
1395,0,139.5
120,5,120
73,0,9.53
264.98,8.2,26.3446
477.23,25.12,35.3325
170,0,25.65
162.85,8.57,13.549
236.55,12.45,29.4
2551.07,92.53,178.874
339.5,10.5,35.2
50,0,6.53
40,0,9.2
1206.25,43.75,56.25
1426.24,75.07,120.855
269.5,5.5,19.5
190.2,0,26.55
80,0,8
49.3,0,16.83
1902.38,100.13,171.575
409.248,8.352,52.798
2697.76,83.44,294.564
95.44,5.02,8.217
538,0,74.2
461.89,24.31,26.35
568.23,23.68,56.9536
28,0,3.88
659.95,10.05,37.45
73.59,3.87,6.207
558.03,29.37,47.03
60,0,7.8
132.51,6.97,11.386
36,0,4.68
390,10,70
456.91,14.13,47.6088
500,0,180
49.49,1.01,6.27
1361.92,71.68,135.92
475.3,14.7,22.45
60.2,0,9.4
227,0,35
60,0,6.43
329.08,6.72,36.934
30,0,3
438.82,18.28,41.216
50,0,6.53
85,0,20
149.63,7.88,12.675
942.31,49.6,79.805
85.26,1.74,9.56
366.62,7.48,39.218
180,0,45
503.5,0,65.69
37.32,0,4.89
25,0,3.26
1299.8,40.2,138.36
375.8,0,48.47
20,0,12.5
320.1,9.9,33.6
125,0,12.7
50,0,5
331.75,12.03,32.9877
689.95,28.75,79.952
232.5,0,32.6
593,0,78
157.5,0,20.55
330,0,51
870,0,116.18
551.57,29.03,42.4
130,0,17.93
103.91,5.47,8.331
70,0,10.2
110.39,1.12,14.2449
1797.35,94.6,149.8125
1043.974,54.946,89.854
851.2,44.8,71.26
1064.71,21.73,86.7912
75,0,15
100.49,1.02,12.585
2739.33,144.18,124.225
464.08,24.43,39.075
755.52,31.48,68.38
300.96,15.84,25.48
119.81,4.99,11.308
405.72,35.28,25.48
100.8,4.2,9.6
651.45,20.15,72.452
125.44,2.56,13.04
40,0,5.9
1878.76,68.14,137.1785
802.12,7.28,96.0154
120.58,5.02,11.356
1266.35,66.65,100.45
492.74,10.06,58.824
371.93,19.58,31.525
320.38,11.62,88.48
100,0,20
903.82,32.78,96.319
390,0,50
119.76,2.44,14.366
50,0,6.5
1348.26,41.7,137.8912
440.55,9.45,21.51
383.47,20.18,32.0775
1190.64,39.36,82.49
360.38,14.63,73.395
180.52,5.58,27.017
439.08,15.93,43.075
50.58,1.56,4.5858
6100,0,1183.48
329.8,10.2,21.8
521.96,16.14,58.757
200.9,4.1,21.9
90,0,11.8
300.16,10.24,40.3568
100,0,25
200.51,4.09,21.108
519.9,27.36,45.997
1772.7,93.3,150.7
698.66,25.34,74.66
1162.254,35.946,121.134
164.9,5.1,12.9
210.98,6.53,26.475
360.75,9.25,44.55
409.28,14.84,71.7158
837.14,30.36,61.5375
790.875,41.625,75.565
1700,0,165
227.95,7.05,35.95
499.8,10.2,57.5
453.8,23.88,34.816
611.13,22.17,52.4145
1059.92,32.78,133.729
1207.76,43.8,143.3354
139.06,4.3,15.6992
59.85,3.15,5.07
140.58,1.42,17.3
499.49,20.81,46.388
2711.5,188.5,101.4
209,11,17.6
158.86,3.24,15.658
60.07,2.18,5.62125
1017.98,53.58,91.182
873.29,27.01,99.871
897.25,27.75,77.25
630.5,19.5,26
200.85,4.1,22.201
43.9,0,5.7
199.14,6.16,20.751
280,0,70
179.5,5.55,18.5785
459.2,14.2,47.598
271.6,8.4,29.6
450.68,23.72,42.48
100,0,16.53
210.8,0,30.26
381.13,9.77,41.2275
99,0,27.4
274.37,7.04,31.665
1136.8,23.2,62.7
488.88,15.12,54.42
60.53,1.87,6.128
240,0,28
2217.49,116.71,143.89
478.67,4.84,75.065
627.2,12.8,68.24
896.5,18.3,62.304
304.19,6.21,49.692
260.28,6.67,31.07625
117.8,6.2,9.8
799.5,20.5,49.5
175,0,22.44
460.35,4.65,67.35
180,0,45
1420,0,118.2
521.702,27.458,47.972
108.53,5.71,9.648
948.45,29.33,97.2666
58,0,7.56
970.2,19.8,117.2
800.07,16.33,116.572
89.6,0,10.92
1200,50,50
578.2,11.8,97.04
870,0,86.2
330.76,6.75,36.4098
439.41,13.59,46.75
90,0,11.8
100.88,3.12,7.92
315.25,9.75,30.25
965.15,29.85,34.25
281.3,8.7,49.3
200,0,56
200.36,10.55,16.355
114,6,12
349.2,10.8,40.2
44,0,8
47.53,0.97,4.86
50,0,7.5
509.01,26.79,43.91
281.16,2.84,35.4
1148.35,41.65,53.55
2740.14,144.22,230.312
539.3815,28.3885,83.4865
5044.5,265.5,460.5
575.84,30.31,48.2125
300.71,15.83,27.103
420.75,4.25,17.9
90.2,0,23.35
284.7,7.3,61.76
150,0,22.5
230,0,30
220.8,9.2,20.8
134.64,1.36,17.44
52.75,0,7.55
50,0,6
212.66,11.19,19.4575
280,0,25.45
278.4,11.6,32
156,0,16.72
249.9,5.1,31.65
5088.63,267.82,443.8375
140.65,4.35,17.4
79,0,8.85
648,27,68.1
1525.68,63.57,136.31
54.61,1.69,5.791
339.89,10.51,42.888
2321.06,122.16,190.839
207.67,10.93,15.87
334.35,17.6,29.7225
199.27,10.49,17.452
1258.75,66.25,121.73
279.3,5.7,31.35
960.3,29.7,71.5
291.6,0,38
498.19,15.41,51.792
563.67,17.43,57.767
98.36,0,15.6
18,0,2.34
859.71,17.55,96.885
380.21,5.79,44.21
115,0,16.35
209.96,6.49,21.7565
10,0,6.7
129.44,2.64,14.9884
668.42,35.18,55.62
193.3,0,25.4
53,0,7.34
140.83,5.87,16.142
575.51,11.75,64.745
87,0,11.3
10.4,0,1.82
300,0,45
695.4,36.6,63.93
199.82,6.18,20.62
1078.06,56.74,97.81
905.01,27.99,93.71
129.98,4.02,14.18
200,0,24.56
755.63,23.37,78.79
30,0,5.7
178.68,0,23.53
540,0,70
94,0,10.07
906.3,0,118.6
415.74,12.86,50.092
100,0,10
339.08,6.92,39.94
210,0,27.4
814.8,25.2,63.06
496.32,20.68,46.75
334.65,10.35,8.25
300,0,48.44
239.12,4.88,29.12
907.63,47.77,78.4
220,0,23
451.39,9.21,68.008
578.2,11.8,86.53
30,0,7.5
749.131,23.169,81.531
702.18,21.72,71.483
745.45,23.06,88.445
119.7,6.3,11.06
2468.69,129.93,201.619
329.8,10.2,34.2
1486.75,78.25,124.75
396.6,12.27,48.8439
99.75,5.25,7.65
1369.88,35.13,106.725
110,0,19
552.82,11.28,64.718
80.64,3.36,8.28
160,0,26
250,0,37.5
30.69,1.62,2.585
20,0,4.03
130,0,17.93
140,0,15.4
600,0,78.29
150,0,20
358.9,11.1,38.17
605,0,71.38
404.99,21.32,34.285
703.19,37.01,56.69
375.44,11.61,35.7385
142.96,0,20.55
500.82,18.16,52.0357
259.54,13.66,21.26
400,0,69
199.5,10.5,20.05
75,0,10
7231.4,380.6,562.8
1103.01,22.51,130.3796
95,0,16.85
60,0,60
323.4,6.6,26.63
135,0,13.5
434.06,22.85,38.6745
185.81,3.79,21.008
1103.2,83.04,80.1032
49.25,0,6.95
420.33,22.12,37.5275
72.2,3.8,6.52
175,0,22.89
45,0,4.5
281.79,8.72,27.685
1850,0,338.5
295.85,9.15,31.95
524.44,0,68
40.26,1.25,4.155
16.44,0,1.32
411.6,8.4,47.4
199.5,10.5,18.5
60,0,6.8
896.38,47.18,83.172
9.59,0,0.77
48.9,0,6.36
836.57,44.03,74.57
130.63,2.67,16.334
259.21,5.29,26.35
149.76,6.24,15.12
169.36,5.24,17.512
295.45,15.55,24.45
60,0,60
1134.35,23.15,76.28
145,0,18.36
179.48,0,22.12
453.15,23.85,39.15
264.44,0,36.52
429.73,8.77,48.23
50,0,6.51
457.05,24.06,38.645
50,0,6.53
651.89,34.31,55.03
40,0,8.06
180,0,45
99.79,5.25,8.398
30,0,3
128.99,5.37,12.2256
55,0,15
109.96,2.24,16.756
698.93,21.62,72.3835
60.9,0,7.95
228.92,7.08,28.92
251.07,7.77,26.4348
615.39,12.56,63.891
160,0,22
539.2,16.68,54.8236
569.53,29.98,49.525
563.64,29.67,47.835
129.6,5.4,13.6
30,0,3
180.48,7.52,18.48
516.36,10.54,60.162
339.84,14.16,31.84
2267.75,82.25,131.42
20,0,2
158.65,8.35,13.85
368.73,11.4,33.2661
551.96,17.07,61.6791
295.84,6.04,33.3424
149.9,0,19.57
88.2,0,11.6
75.47,2.33,11.066
148,0,14.16
99.03,2.02,11.579
122.55,6.45,12.9
240,0,32.1
266.55,8.24,27.8563
581.9,18,61.703
278.39,8.61,27.39
84,0,11
140,0,17
190,0,22.06
99.96,2.04,11.46
317.84,16.73,26.9115
130.28,4.73,14.275
366.47,11.33,39.946
115,0,14.2
581.53,11.87,67.492
826.0155,43.4745,85.3455
1491.86,46.14,106.56
864.5,45.5,73.1
9,0,1.3
392.7,27.3,24.3
1899.62,99.98,166.22
2313.06,121.74,169.56
270.44,0,51.82
100,0,13
1567.5,82.5,132.5
120,0,17
793.8,16.2,91.56
479.8,25.25,40.4975
325,0,52.75
121.13,6.38,9.325
14,0,1.94
514.35,21.43,50.9488
65,0,6.18
343.38,10.62,29.96
365.75,19.25,30.75
83.42,2.58,9.22
497.42,26.18,39.76
496.55,15.36,52.2427
140,0,12.73
180.33,0,24.01
535.42,28.18,45.6
583.01,30.68,49.9555
844.46,44.45,70.795
70.8,0,11.04
280,0,56
246.57,5.03,27.208
111.88,0,13.63
439.66,23.14,31
387.41,20.39,32.76
1025.05,53.95,100.95
656.62,34.56,58.021
319.8,8.2,34.45
79.8,4.2,7.44
423,47,20.28
20,0,3
204.25,10.75,18.25
221.78,15.42,12.982
160.8,6.7,16.75
142.5,0,18.9
80,0,12
130,0,23.4
1330,70,112
25,0,3.26
60,0,12.09
14,0,2.8
20,0,2.7
310,0,43.75
499.7,10.2,54.532
1053.27,55.44,88.865
971.85,51.15,89.85
846.88,44.57,71.6775
774.2,40.75,63.8325
187.92,9.89,16.2995
570,30,48
1159.29,61.02,106.285
330.26,6.74,60.26
83.13,4.38,6.8745
277.02,14.58,23.32
1045,55,80.1
312,13,32
300.2,15.8,27.2
18,0,2.34
525.74,16.26,55.04
1080.03,29.97,75.53
300.7,9.3,54.45
619.53,22.47,66.69
140,0,15
261.66,5.34,32.06
2123,77,183
90.8,0,16.75
99.75,5.25,8.75
2318.09405,84.07595,237.25405
115.3,1.76,14.0441
18,0,3.94
382.95,20.16,30.665
10,0,1.3
974.45,51.29,85.913
