invoiceAmount,invoiceDiscountAmount,invoiceProfit,invoiceDate
320,2.56,37.12,1/2/2019 5:59
450,17.1,44.5,1/2/2019 6:02
96,0,11.8,1/2/2019 6:03
145.5,4.5,15,1/2/2019 6:03
838.99,44.16,71.3325,1/2/2019 6:14
50,1,7.55,1/2/2019 6:18
70,0.84,8.4,1/2/2019 6:20
890,40,211,1/2/2019 6:30
1570,70.25,142.97,1/2/2019 6:33
19.44,0,2.52,1/2/2019 6:34
45,2.3,10.2,1/2/2019 6:35
20,0,4.8,1/2/2019 6:37
153.805,8.095,14.515,1/2/2019 6:41
200,0,27.75,1/2/2019 6:45
19.44,0,1.77,1/2/2019 6:47
1395.54,73.45,121.6105,1/2/2019 6:50
17.44,0,2.39,1/2/2019 6:52
75,2,4.68,1/2/2019 6:52
258.4,13.6,52.22,1/2/2019 6:52
20,0,3.2,1/2/2019 6:53
150,0,21,1/2/2019 6:54
132.47,6.97,14.598,1/2/2019 7:00
60,0,9,1/2/2019 7:01
60,0,13.86,1/2/2019 7:02
942.31,49.6,79.805,1/2/2019 7:04
790,20,30.9,1/2/2019 7:08
50,0,6.75,1/2/2019 7:09
460,35.95,28.7525,1/2/2019 7:10
30,1.5,2.61,1/2/2019 7:17
150,6.8,13.6,1/2/2019 7:22
30,2.1,2.2,1/2/2019 7:23
926.725,48.775,78.125,1/2/2019 7:23
617.12,32.48,50.92,1/3/2019 10:16
258.72,10.78,22.82,1/2/2019 7:29
6,0,2,1/2/2019 7:40
230,0,38.34,1/2/2019 7:44
60,4,3.8,1/2/2019 7:45
40,0,12,1/2/2019 7:50
500,25,43,1/2/2019 7:58
60,0,7.84,1/2/2019 8:03
280,4,32.9,1/2/2019 8:04
170,6.44,14.88,1/2/2019 8:05
320,0,48,1/2/2019 8:08
78,0,8.36,1/2/2019 8:13
100,9.55,4.73,1/2/2019 8:14
265.45,13.97,25.969,1/2/2019 8:15
320,10,36.4,1/2/2019 8:17
20,4.5,-1,1/2/2019 8:17
40,0,5.2,1/2/2019 8:18
400,25.1,30.4,1/2/2019 8:37
120,0,15.7,1/2/2019 8:41
18.8,0,2.48,1/2/2019 8:42
79.9,3,7.8,1/2/2019 8:42
147.75,0,20.2,1/2/2019 8:44
170,4,20.8,1/2/2019 8:46
152.29,8.02,11.485,1/2/2019 8:48
680,10,29.3,1/2/2019 8:50
60,0,10.2,1/2/2019 8:51
180,0,23,1/2/2019 8:55
60,1,7.8,1/2/2019 8:56
426.8,13.2,43.48,1/2/2019 8:58
60,0,5,1/2/2019 8:59
1659.71,87.35,147.077,1/2/2019 9:03
645.44,19.96,66.738,1/2/2019 9:03
50,1.8,6.55,1/2/2019 9:06
50,0,6.05,1/2/2019 9:06
550,18.66,58.1,1/2/2019 9:07
140,5,14.19,1/2/2019 9:08
20,0,6.4,1/2/2019 9:09
100,0,29.2,1/2/2019 9:17
30,1.5,2.7,1/2/2019 9:19
280,10,38.8,1/2/2019 9:26
400,24.28,32.5,1/2/2019 9:27
40,2.9,2.35,1/2/2019 9:29
200,6.4,21.8,1/2/2019 9:32
1150,55.5,108.81,1/2/2019 9:38
600,10,38.8,1/2/2019 9:40
170,6,16,1/2/2019 9:41
130,8.6,14.32,1/2/2019 9:43
280,7,30.44,1/2/2019 9:45
210,5,18.04,1/2/2019 9:47
120,5,9.55,1/2/2019 9:47
150,6.5,13.9,1/2/2019 9:48
260,6,28.1,1/2/2019 9:51
50,0,7,1/2/2019 9:53
1211.55,63.77,106.894,1/2/2019 10:06
50.5,1,5.8,1/2/2019 10:06
160,4.46,18.58,1/2/2019 10:08
450.18,23.69,33.2165,1/2/2019 10:14
891.29,46.91,76.17,1/2/2019 10:22
99,0,13.05,1/2/2019 10:27
6,0,2,1/2/2019 10:28
54.8,0,7.2,1/2/2019 10:30
190,4.5,19.4,1/2/2019 10:30
600,20,70,1/2/2019 10:33
399.73,9,44.33,1/2/2019 10:39
410,13,42.78,1/2/2019 10:51
280,10,29.35,1/2/2019 10:54
70,2.8,9,1/2/2019 10:56
260,7.1,22.3,1/2/2019 11:00
135.66,0,24.21,1/2/2019 11:04
715,20,35.87,1/2/2019 11:08
1000,50,120,1/3/2019 9:13
635,0,67.7,1/3/2019 9:17
20,2,0.9,1/3/2019 9:24
70,0,9.7,1/3/2019 9:31
100,10,5.2,1/3/2019 9:34
1000,53.48,84.736,1/3/2019 9:40
140,5,14.19,1/3/2019 9:45
50,10,-4,1/3/2019 9:46
420,5.25,50.23,1/3/2019 9:49
140,0,21,1/3/2019 9:52
180,0,23,1/3/2019 10:06
1119,41,110.3,1/3/2019 10:33
13,0,1.7,1/3/2019 10:33
2000,99.15,174.4,1/3/2019 10:55
200,2.7,23.9,1/3/2019 11:10
220,9.5,20.38,1/3/2019 11:14
98.8,0,14.75,1/3/2019 11:16
250,3,87.33,1/3/2019 11:21
200,0,24,1/3/2019 11:24
400,4,50.7,1/3/2019 11:24
50,0,29.25,1/3/2019 11:32
660,24,66.74,1/3/2019 11:33
456,24,40.8,1/3/2019 11:51
320,0.1,42.5,1/3/2019 11:52
20,0,12.5,1/3/2019 12:11
1950,90,192,1/3/2019 12:11
1800,50,135,1/3/2019 12:12
100,3.8,10.6,1/3/2019 12:13
220,3,26.34,1/3/2019 12:25
60,0,5.45,1/3/2019 12:33
25,2,3.91,1/3/2019 12:39
20,4,4,1/3/2019 12:40
812.25,42.75,68.85,1/3/2019 12:42
1800,59,257.3,1/3/2019 5:07
77.32,0,10.16,1/3/2019 12:47
50,0,8,1/3/2019 12:48
120,5,9.87,1/3/2019 1:03
90,5,6.07,1/3/2019 1:25
125,0,25,1/3/2019 1:36
100,0,13.8,1/3/2019 4:13
260,0,31.4,1/3/2019 4:15
296.02,15.58,25.92,1/3/2019 4:23
589,31,62,1/3/2019 4:25
50,0,6,1/3/2019 4:29
60,3,5.2,1/3/2019 4:38
884.45,46.55,67.45,1/3/2019 4:45
20,0.55,1.1,1/3/2019 4:59
143.91,7.57,11.046,1/3/2019 5:08
299.52,12.48,29.32,1/3/2019 5:23
31,0,6.4,1/3/2019 5:33
765.23,40.28,68.995,1/3/2019 5:44
1592.25,57.75,157.25,1/3/2019 5:47
300,9,28.62,1/3/2019 5:47
236.55,12.45,20.35,1/3/2019 5:50
312,13,29.39,1/3/2019 5:56
100,4,22.4,1/3/2019 6:01
960,16.7,129.83,1/3/2019 6:04
549.82,28.94,48.492,1/3/2019 6:08
280,6,33.6,1/3/2019 6:16
10,0,3.2,1/3/2019 6:29
105,0,13.73,1/3/2019 6:30
160,5,16,1/3/2019 6:31
780,20,53.28,1/3/2019 6:38
1798.58,0,212.92,1/3/2019 6:45
490,14,51.52,1/3/2019 6:47
100,0,18,1/3/2019 6:47
350,9.7,27.82,1/6/2019 1:17
218.5,11.5,18.5,1/3/2019 6:56
360,15,36,1/3/2019 6:56
41.8,2.2,3.6,1/3/2019 6:58
20,0,5.8,1/3/2019 7:02
40,2,2,1/3/2019 7:03
148.2,7.8,12.6,1/3/2019 7:07
190,0,28,1/3/2019 7:09
110,5,9.07,1/3/2019 7:10
50,5.6,2,1/3/2019 7:11
1790,60,255,1/3/2019 7:12
600,16.65,64.05,1/3/2019 7:14
149.63,7.88,12.675,1/3/2019 7:16
40,0,6,1/3/2019 7:17
311.65,16.4,25.2875,1/3/2019 7:28
70,5,4.8,1/3/2019 7:31
2880,90,326.85,1/4/2019 9:11
60,0,13.86,1/3/2019 7:34
379.9319,13.3381,35.6819,1/3/2019 7:38
50,1,7.55,1/3/2019 7:39
251.75,13.25,21.75,1/3/2019 7:40
200,12.56,15.422,1/3/2019 7:41
110,0,13.2,1/3/2019 7:41
170,5,20,1/3/2019 7:49
130,2,14,1/3/2019 7:56
150,0,19,1/3/2019 7:57
656.37,45.63,40.37,1/3/2019 7:58
60,0,7.2,1/3/2019 8:01
561.36,29.55,45.265,1/3/2019 8:02
880,50,201,1/3/2019 8:03
355.62,19.38,29.67,1/3/2019 8:04
724.19,38.12,66.785,1/3/2019 8:05
200,12.11,14.995,1/3/2019 8:07
90,0,11.81,1/3/2019 8:08
90,5,6.07,1/3/2019 8:09
80,3.25,7.4,1/3/2019 8:12
170,5,20,1/3/2019 8:13
50,5.6,2,1/3/2019 8:14
120,10,3,1/3/2019 8:14
531.24,27.96,46.34,1/3/2019 8:17
2265.75,119.25,191.84,1/3/2019 8:18
70.3,3.7,2.1,1/3/2019 8:22
440.8,23.2,37.4,1/3/2019 8:25
240,5,31.86,1/3/2019 8:25
440,14,51.4,1/3/2019 8:25
110,0.6,13.84,1/3/2019 8:27
190,0.4,24.52,1/3/2019 8:29
84.47,4.45,7.344,1/3/2019 8:33
25,0,5,1/3/2019 8:34
3170.6,115,263.8,1/3/2019 8:51
1173.17,0,152.76,1/3/2019 8:46
100,0.9,13.15,1/3/2019 8:46
600,10,81.5,1/3/2019 8:47
209.13,7.59,20.6548,1/3/2019 8:48
9,0,1.3,1/3/2019 8:49
20,0.55,1.1,1/3/2019 8:51
1050,30,113.2,1/3/2019 8:55
157.14,0,23.7,1/3/2019 8:55
50,0,10,1/3/2019 8:57
130,0,16.97,1/3/2019 8:58
250,7.6,25.89,1/3/2019 9:01
1040,41.28,100.2352,1/3/2019 9:04
429.78,9.67,50.5821,1/3/2019 9:06
100,0,13,1/3/2019 9:07
340,12,34.03,1/3/2019 9:08
99,0,34,1/3/2019 9:12
39.45,0,5.41,1/3/2019 9:13
200,0,24.56,1/3/2019 9:16
2220,117.31,203.195,1/3/2019 9:17
200,0,26,1/3/2019 9:17
580,22,26.6,1/3/2019 9:19
190,0,24,1/3/2019 9:20
1036.86,54.57,88.2985,1/3/2019 9:26
100,0,13,1/3/2019 9:27
540,20.39,50.9983,1/3/2019 9:29
100,11.2,4,1/3/2019 9:31
75,1.95,7.05,1/3/2019 9:33
361,19,31,1/3/2019 9:34
185,4,19.36,1/3/2019 9:35
76.95,0,9,1/3/2019 9:38
390.74,20.57,32.655,1/3/2019 9:39
200,0.05,26.04,1/3/2019 9:40
1360,35,104.5,1/3/2019 9:41
515.09,27.11,43.94,1/3/2019 9:42
19,0,2.42,1/3/2019 9:44
180,4.8,17.9,1/3/2019 9:45
110,0,11,1/3/2019 9:45
140,5,13.85,1/3/2019 9:49
200.45,10.55,23.31,1/3/2019 9:56
508.25,26.75,40.65,1/3/2019 9:59
532,28,45.05,1/3/2019 10:01
446.5,23.5,38.5,1/3/2019 10:01
240.35,12.65,20.35,1/3/2019 10:05
77.32,0,10.1,1/3/2019 10:08
85,0,16,1/3/2019 10:08
280,4,38,1/3/2019 10:09
120,4.4,11.56,1/3/2019 10:11
65,1,7.4,1/3/2019 10:16
99.75,5.25,8.25,1/3/2019 10:17
359.1,18.9,33.18,1/3/2019 10:23
150,0,20,1/3/2019 10:24
320,5,37.39,1/3/2019 10:26
332.5,17.5,27.5,1/3/2019 10:32
831.58,25.72,90.431,1/3/2019 10:33
19.5,0,2.55,1/3/2019 10:49
45.66,0,6.21,1/3/2019 10:56
350,16,34.15,1/3/2019 11:01
25,1,2.4,1/3/2019 11:09
250,6,25.2,1/3/2019 11:10
580.88,30.57,52.0275,1/4/2019 10:21
120,4,14,1/4/2019 10:25
700,20,109,1/4/2019 10:36
990,20,164.27,1/4/2019 10:45
250,0,33.52,1/4/2019 10:58
180,0,23,1/4/2019 11:13
660,21.66,67.24,1/4/2019 11:16
40,0,5.24,1/4/2019 11:17
290,4.04,33.68,1/4/2019 11:24
3450,165,322.23,1/4/2019 4:40
509.39,26.81,43.52,1/4/2019 4:50
130,8,10,1/4/2019 4:53
110,4.6,11.1,1/4/2019 4:55
59.7,0,8.4,1/4/2019 4:56
485,0,40,1/4/2019 5:03
220,10,28.34,1/4/2019 5:05
150,10,11.6,1/4/2019 5:07
45,0,6,1/4/2019 5:09
140,0,19.7,1/4/2019 5:19
50,3.06,3.8,1/4/2019 5:24
100,4,10.2,1/4/2019 5:25
110.5,0,16.79,1/4/2019 5:31
100,0,13.4,1/4/2019 5:36
119.96,0,17.02,1/4/2019 5:36
68.25,0,8.95,1/4/2019 5:37
90.4,0,11.9,1/4/2019 5:46
799.12,42.06,68.311,1/4/2019 5:49
20,0,3.6,1/4/2019 5:52
390,11.4,40.72,1/4/2019 6:00
150,5,15,1/4/2019 6:01
200,20,7.02,1/4/2019 6:12
240,5.2,28.6,1/4/2019 6:18
90,0,13.71,1/4/2019 6:19
240,17.84,16.36,1/4/2019 6:21
4307.4,226.71,310.425,1/4/2019 6:30
47,0,6.89,1/4/2019 6:32
150,0,21,1/4/2019 6:33
760,42.11,60.925,1/4/2019 6:36
580,34.51,48.295,1/4/2019 6:38
45,0,4.5,1/4/2019 6:38
96,0,12.56,1/4/2019 6:39
170,1.5,21.6,1/4/2019 6:39
61.4,0,8.83,1/4/2019 6:46
30,0.92,2.14,1/4/2019 6:49
210,0.2,62.8,1/4/2019 7:02
100,4.72,9.14,1/4/2019 7:03
280,6.3,32.55,1/4/2019 7:05
280,4,36.1,1/4/2019 7:07
378.3,11.7,39.3,1/4/2019 7:11
16.44,0,1.32,1/4/2019 7:13
23,0.9,3.7,1/4/2019 7:13
340,11,32.72,1/4/2019 7:16
3620,102.8,481.45,1/4/2019 7:16
210,0,34,1/4/2019 7:18
1338.21,70.43,116.688,1/4/2019 7:23
376.11,19.8,31.795,1/4/2019 7:24
22.63,1.19,1.929,1/4/2019 7:26
30,2.25,1.95,1/4/2019 7:29
110,1.99,12.97,1/4/2019 7:32
600,0,64,1/4/2019 7:33
269.14,14.17,22.535,1/4/2019 7:34
200,1,25,1/4/2019 7:37
45,0,8.9,1/4/2019 7:37
500,10,88,1/4/2019 7:46
536.19,19.45,75.9326,1/4/2019 7:47
270,15,22,1/4/2019 7:47
342.114,18.006,30.314,1/4/2019 7:49
50,0,10,1/4/2019 7:50
114,6,10,1/4/2019 7:52
247.608,13.032,20.148,1/4/2019 7:56
510,20,70,1/4/2019 8:00
70,5,9.76,1/4/2019 8:01
160,9.7,13.1,1/4/2019 8:06
219.34,11.54,18.396,1/4/2019 8:07
110,7.5,7.4,1/4/2019 8:10
320,2,43.5,1/4/2019 8:12
15,0.6,1.32,1/4/2019 8:13
180,0,45,1/4/2019 8:19
190,0.4,25.3,1/4/2019 8:19
2565,135,540,1/4/2019 8:20
20,1,1.91,1/4/2019 8:21
446.69,23.51,43.25,1/4/2019 8:24
19,0,2.42,1/4/2019 8:29
30,0,3.92,1/4/2019 8:32
300,16.68,26.116,1/4/2019 8:39
140,0,18,1/4/2019 8:40
2709.78,142.62,231.48,1/4/2019 8:40
541.74,28.51,50.1975,1/4/2019 8:43
405.41,21.34,28.1625,1/4/2019 8:48
70,0.7,7.36,1/4/2019 8:50
3065.37,161.34,181.665,1/4/2019 8:57
1400.74,50.8,133.4161,1/4/2019 8:57
299.63,15.77,26.03,1/4/2019 8:58
360.84,11.16,150.44,1/4/2019 9:00
100,0,13,1/4/2019 9:01
198,8.25,20.25,1/4/2019 9:03
99,0,13.65,1/4/2019 9:04
860,25,62.7,1/4/2019 9:05
200,0,26,1/4/2019 9:07
49.84,0,6.86,1/4/2019 9:08
220,4,27.7,1/4/2019 9:10
279.4,7.16,30.216,1/4/2019 9:16
229.99,7.11,25.287,1/4/2019 9:23
250,5,73,1/4/2019 9:28
110,1,13.1,1/4/2019 9:30
150.01,7.9,12.675,1/4/2019 9:31
1930,140,31.46,1/4/2019 9:48
322.53,16.98,28.875,1/4/2019 9:50
289.66,15.25,25.455,1/4/2019 9:56
318.06,16.74,24.86,1/4/2019 9:57
510.63,26.88,46.685,1/4/2019 9:59
415,0,40.28,1/4/2019 10:01
818.13,29.67,77.727,1/4/2019 10:03
58,0,8.57,1/4/2019 10:06
374.61,11.59,76.714,1/4/2019 10:10
290,10,20,1/4/2019 10:10
200,40,15.2,1/4/2019 10:11
693.5,36.5,73.5,1/4/2019 10:11
110,5,6.3,1/4/2019 10:16
570,20,23.7,1/4/2019 10:17
88.4,0,12.6,1/4/2019 10:21
248.13,7.67,28.126,1/4/2019 10:24
114.89,2.21,12.19,1/4/2019 10:24
220,8,23.38,1/4/2019 10:26
16.44,0,1.32,1/4/2019 10:31
1520,80,136,1/4/2019 10:38
96.8,0,14.3,1/4/2019 10:46
550,34.8,68.55,1/4/2019 10:55
385,0,76.25,1/4/2019 10:55
100,0,14.4,1/4/2019 10:59
500,8.8,57.6,1/4/2019 11:10
400,23,32,1/4/2019 11:10
33.8,0,5.02,1/5/2019 9:17
380,0,55.8,1/5/2019 9:23
19,0,2.42,1/5/2019 9:23
908.87,47.84,84.065,1/5/2019 9:39
190,5.6,18.7,1/5/2019 9:42
75,2.7,7.48,1/5/2019 9:50
320,1,49.2,1/5/2019 9:52
38,0,4.84,1/5/2019 9:58
434.15,22.85,36.15,1/5/2019 10:11
900,25,100.24,1/5/2019 10:14
1935.14,0,250.27,1/5/2019 10:14
180,10,17,1/5/2019 10:18
18.92,0,2.64,1/5/2019 10:39
16,0.5,4.45,1/5/2019 10:40
40,11.8,-5,1/5/2019 10:47
1840,61,122.46,1/5/2019 10:52
300,18,26.75,1/5/2019 11:00
120,6,9.46,1/5/2019 11:11
100,0,10.71,1/5/2019 11:13
336.41,23.39,24.693,1/5/2019 11:16
200,3,25.8,1/5/2019 11:19
228.62,12.58,17.42,1/5/2019 11:21
100,0,15,1/5/2019 11:24
14,0,2.2,1/5/2019 11:25
650,35,54,1/5/2019 11:34
959.8,54.4,136.85,1/5/2019 11:48
1280,4,163.32,1/5/2019 11:49
5,0,0.7,1/5/2019 12:11
260,4.4,31.59,1/5/2019 12:16
500,40,30,1/5/2019 12:29
44,0,5.82,1/5/2019 12:47
622.25,32.75,48.25,1/5/2019 12:51
350,5.6,36.7,1/5/2019 12:53
360,8.03,39,1/5/2019 1:02
160,4,17,1/5/2019 1:03
203.52,0,26.52,1/5/2019 1:14
310.1,10,32.6,1/5/2019 1:18
200,0,26,1/5/2019 1:22
80,0,8.57,1/5/2019 1:23
100,0.32,16.4,1/5/2019 1:26
30,1.25,9.375,1/5/2019 1:27
2400,90,159,1/5/2019 1:28
350,1.88,47.76,1/5/2019 1:31
50,0,6.75,1/5/2019 1:33
106,6,8.8,1/5/2019 4:56
8.46,0,1.1,1/5/2019 5:01
29.2,0,3.8,1/5/2019 5:05
20,1,5,1/5/2019 5:12
140,0.5,18.2,1/5/2019 5:12
220,8,21.64,1/5/2019 5:33
57,0,7.45,1/5/2019 5:38
1170,28,82.3,1/5/2019 5:47
120,0,17,1/5/2019 5:59
751.71,31.32,76.0088,1/5/2019 6:05
49,0,6.4,1/5/2019 6:08
309.43,9.57,41.93,1/5/2019 6:11
30,0,3.92,1/5/2019 6:14
300,1.48,32.13,1/5/2019 6:14
893,47,80.4,1/5/2019 6:19
70,3,7.3,1/5/2019 6:23
50,0.2,6.52,1/5/2019 6:24
104.5,5.5,24.5,1/5/2019 6:28
180,0,23,1/5/2019 6:30
100,0,29.2,1/5/2019 6:35
696.35,36.65,64.85,1/5/2019 6:45
300,0,62.45,1/5/2019 6:47
250,0,30,1/5/2019 6:48
100,2,11.32,1/5/2019 6:50
220,12.51,11.715,1/5/2019 6:51
20,0,4.4,1/5/2019 6:52
450,10,50,1/5/2019 6:53
100,1,12.6,1/5/2019 6:54
553.85,29.15,41.85,1/5/2019 6:55
140,2.5,16.75,1/5/2019 6:57
1172.59,61.72,110.085,1/5/2019 7:02
25,0,3.26,1/5/2019 7:06
190,0.4,24.4,1/5/2019 7:07
340,10,37.25,1/5/2019 7:07
30,0,17.55,1/5/2019 7:13
469.86,22.14,44.61,1/5/2019 7:14
199.5,10.5,18,1/5/2019 7:15
342,18,29.1,1/5/2019 7:18
185,2,24.6,1/5/2019 7:27
40,2,3.68,1/5/2019 7:30
159.6,8.4,13.6,1/5/2019 7:34
55.6,0,7.6,1/5/2019 7:37
1620,88.82,134.099,1/5/2019 7:38
960,53.8,78.8,1/5/2019 7:38
60,4.2,4.4,1/5/2019 7:40
1000,50,95,1/5/2019 7:44
70,0,6.36,1/5/2019 7:45
200,5,20.2,1/5/2019 7:46
1260,40,78.2,1/5/2019 7:51
270,8,32,1/5/2019 7:53
739.39,38.92,72.635,1/5/2019 7:57
30,2.88,-0.24,1/5/2019 8:01
100,0.2,12.85,1/5/2019 8:03
640.8,26.7,60.4,1/5/2019 8:07
2000,51.87,159.5,1/5/2019 8:10
70,0,20,1/5/2019 8:11
123.74,6.51,10.4875,1/5/2019 8:11
1210.38,63.7,102.616,1/5/2019 8:19
130,5.3,12.7,1/5/2019 8:26
60,6.44,0.24,1/5/2019 8:34
140,8.8,12.3,1/5/2019 8:34
2256.25,118.75,243.54,1/5/2019 8:35
256.5,13.5,23.5,1/5/2019 8:35
357.96,18.84,28.46,1/5/2019 8:37
